Episode,Cross-Entropy Method,Cross-Entropy Method_ErrorBar
362,4.27345,0.170778
363,3.92924,0.22487
364,3.99827,0.176924
365,4.21945,0.166419
366,4.29629,0.126035
367,4.12211,0.141543
368,4.14037,0.177425
369,4.21781,0.1353
370,4.12405,0.182406
371,3.79016,0.249226
372,4.13619,0.181101
373,4.09009,0.170631
374,4.50744,0.0879125
375,4.3274,0.12851
376,4.25228,0.154999
377,4.23064,0.125063
378,4.15937,0.151033
379,3.79517,0.255618
380,3.97289,0.194477
381,4.47654,0.131201
382,4.22051,0.167467
383,4.33326,0.211886
384,3.83052,0.290691
385,4.17501,0.213958
386,4.67857,0.0915407
387,4.23629,0.185865
388,4.35655,0.137018
389,4.05341,0.25917
390,4.1389,0.193492
391,4.22659,0.192481
392,4.1545,0.183586
393,4.43123,0.104429
394,4.36876,0.191973
395,4.40995,0.149736
396,4.46736,0.146505
397,4.31371,0.153161
398,4.32543,0.14763
399,4.13688,0.214581
400,4.47649,0.144148
401,4.52288,0.13147
402,4.36921,0.19022
403,4.45148,0.157501
404,4.51495,0.129934
405,4.42175,0.166773
406,4.50606,0.181566
407,4.36399,0.18998
408,4.11535,0.274458
409,4.60727,0.146606
410,4.41153,0.202348
411,4.70254,0.136671
412,4.42421,0.193634
413,4.36464,0.193825
414,4.49356,0.18022
415,4.46349,0.169889
416,4.49293,0.169776
417,4.54255,0.192508
418,4.23729,0.258538
419,4.36701,0.204987
420,4.50124,0.154354
421,4.45216,0.22987
422,4.70547,0.163848
423,4.67256,0.192337
424,4.64143,0.211033
425,4.72633,0.164511
426,3.95789,0.344244
427,4.47945,0.230541
428,3.97512,0.347984
429,4.5476,0.203467
430,4.46339,0.267353
431,4.73695,0.166686
432,4.53235,0.184469
433,4.14519,0.302172
434,4.68079,0.160965
435,4.75996,0.113014
436,4.96032,0.0830788
437,4.67469,0.179923
438,4.96776,0.104674
439,4.5233,0.221649
440,4.54816,0.197664
441,4.83163,0.163995
442,4.81591,0.204032
443,4.75737,0.228902
444,4.76817,0.206987
445,4.8785,0.176931
446,4.9073,0.177661
447,4.60825,0.234476
448,4.59052,0.199301
449,4.98382,0.0909431
450,4.71427,0.202778
451,4.2978,0.30492
452,4.89258,0.144667
453,4.89344,0.158425
454,4.72159,0.212878
455,4.82219,0.203496
456,4.59911,0.230433
457,4.84441,0.176059
458,4.92027,0.149966
459,4.75043,0.191232
460,5.04982,0.140286
461,4.76353,0.229882
462,4.87547,0.229207
463,5.08877,0.15091
464,4.9418,0.145653
465,4.89238,0.186414
466,5.20696,0.113549
467,4.76109,0.243908
468,4.94461,0.207906
469,5.11657,0.109038
470,4.68823,0.250435
471,4.86145,0.188948
472,4.8943,0.223073
473,5.15142,0.119152
474,5.0791,0.162995
475,4.62512,0.291807
476,4.66424,0.269467
477,4.90787,0.182585
478,5.12643,0.105436
479,4.76132,0.223824
480,5.07247,0.149359
481,5.30444,0.115088
482,5.35239,0.0761242
483,5.26026,0.161933
484,5.14864,0.175419
485,5.34728,0.0710644
486,5.11997,0.152216
487,4.85856,0.228659
488,5.06535,0.205182
489,5.3006,0.0961767
490,4.9305,0.188411
491,4.92884,0.237829
492,4.71994,0.253931
493,5.05799,0.1864
494,5.04864,0.15873
495,5.00325,0.178266
496,5.09975,0.204092
497,5.13583,0.147424
498,5.14019,0.14347
499,5.08875,0.190276
500,4.97467,0.232403
501,5.36251,0.150918
502,5.14157,0.179858
503,5.25383,0.170017
504,5.1297,0.227592
505,5.11347,0.19058
506,5.18163,0.19928
507,5.37005,0.14034
508,5.36164,0.145938
509,4.642,0.308694
510,5.47588,0.101388
511,5.37898,0.132213
512,5.24963,0.172623
513,5.24815,0.132779
514,5.36268,0.133208
515,5.2325,0.218355
516,5.24599,0.13796
517,5.28792,0.136794
518,5.16976,0.1756
519,5.28582,0.137985
520,4.95961,0.253964
521,5.54095,0.0751161
522,5.5426,0.0768383
523,5.095,0.208509
524,5.3399,0.117442
525,5.37231,0.161318
526,5.35681,0.10166
527,5.42427,0.146863
528,5.52871,0.124026
529,5.43523,0.159324
530,5.56478,0.135256
531,4.93714,0.283512
532,5.21828,0.226184
533,5.30783,0.187019
534,5.08237,0.263953
535,5.46905,0.144284
536,5.55082,0.133741
537,5.46772,0.136988
538,5.47816,0.172786
539,5.26168,0.199062
540,5.50682,0.0952546
541,5.67283,0.0698977
542,5.53666,0.100693
543,5.32762,0.205158
