Episode,Cross-Entropy Method,Cross-Entropy Method_ErrorBar
646,1284.57,77.015
647,1157.9,82.0929
648,1165.84,84.6658
649,1206.39,81.2035
650,1231.02,81.827
651,1165.85,80.2128
652,1162.41,80.0066
653,1350.96,60.6305
654,1330.51,63.3325
655,1201,71.3157
656,1217.24,72.4391
657,1182.79,80.7933
658,1203.23,79.77
659,1159.29,76.6557
660,1184.8,74.0517
661,1222.24,84.0984
662,1226.57,82.7614
663,1261.61,79.247
664,1273.44,77.2843
665,1277.63,69.8182
666,1260.03,70.7598
667,1202.68,83.4766
668,1180.53,86.281
669,1213.49,68.2026
670,1175.69,72.4655
671,1178.54,89.6115
672,1123.11,92.6821
673,1272.35,75.9232
674,1290.42,72.2963
675,1184.53,82.9068
676,1234.47,74.1835
677,1219.28,76.7613
678,1214.2,77.9463
679,1242.05,74.3523
680,1259.45,73.3494
681,1201.76,82.3274
682,1220.59,78.6295
683,1225.03,74.5299
684,1203.06,76.3713
685,1203.66,97.0793
686,1162.39,97.6249
687,1214.28,85.2932
688,1237.88,81.9719
689,1291.6,64.461
690,1247.03,69.1497
691,1205.85,78.0148
692,1198.92,77.4965
693,1264.44,72.108
694,1223.81,76.3905
695,1291.84,71.5009
696,1266.83,85.3187
697,1291.32,75.587
698,1277.71,73.4361
699,1274,67.9488
700,1280.91,67.5101
701,1338.55,70.2809
702,1341.52,70.5761
703,1237.44,76.8111
704,1165.12,91.1826
705,1259.86,69.5453
706,1265.05,69.5515
707,1279.45,74.621
708,1311.54,62.0003
709,1240.04,79.8944
710,1236.61,80.4789
711,1340.62,63.8974
712,1357.77,62.2605
713,1291.02,74.469
714,1281.01,76.2742
715,1172.31,102.355
716,1151.35,104.285
717,1322.93,68.8144
718,1323.95,68.5321
719,1179.15,80.7079
720,1186.18,80.8487
721,1203.51,93.3224
722,1212.06,93.9359
723,1241.91,70.8008
724,1203.05,75.9319
725,1205.98,78.9553
726,1230.18,78.2226
727,1177.7,97.1821
728,1183.43,90.4178
729,1170.69,86.3778
730,1170.33,86.2596
731,1254.12,78.2538
732,1268.47,77.8757
733,1227.98,78.5594
734,1246,77.793
735,1296.9,76.5701
736,1288.86,77.2927
737,1268.32,70.8877
738,1316.66,65.1499
739,1274.6,75.3578
740,1285.88,74.2884
741,1231.5,84.7767
742,1245.9,84.9472
743,1184.71,92.9734
744,1172.14,93.4447
745,1341.25,74.655
746,1331.77,74.8634
747,1128.69,92.6244
748,1144.85,92.1054
749,1206.03,94.5574
750,1216.54,95.0167
751,1117.87,82.5308
752,1144.38,80.4846
753,1163.63,91.4118
754,1209.75,88.1492
755,1147.97,95.7805
756,1114.87,96.3244
757,1217.83,71.1447
758,1230.78,72.5374
759,1136.53,96.5517
760,1142.63,94.7381
761,1258.24,86.88
762,1293.93,83.8617
763,1325.03,70.4847
764,1352.42,68.5953
765,1241.59,79.6603
766,1251.92,78.2987
767,1276.88,78.8623
768,1298.56,73.0471
769,1298.28,73.1915
770,1306.53,72.7836
771,1316.53,71.8681
772,1292.46,73.7035
773,1253.82,81.0427
774,1241.15,81.6951
775,1240.27,86.8496
776,1257.6,86.1185
777,1332.69,71.7532
778,1320.72,73.258
779,1219.49,79.4077
780,1239.17,79.4309
781,1245.47,85.1101
782,1250.07,83.0505
783,1216.94,81.303
784,1220.23,79.6453
785,1330.08,67.8796
786,1323.21,69.6421
787,1116.67,92.6702
788,1137.35,92.2504
789,1224.2,91.1462
790,1197.09,93.6799
791,1362.85,68.2
792,1405.25,61.9196
793,1323.95,68.7745
794,1291.12,71.2108
795,1280.13,69.8779
796,1295.77,68.1168
797,1128.34,90.2615
798,1131.03,91.0276
799,1262.55,71.5684
800,1261.51,72.1333
801,1230.19,93.2901
802,1241.35,93.0834
803,1284.45,74.3434
804,1315.33,67.2935
805,1308.61,71.0305
806,1350.09,67.8132
807,1334.05,59.3488
808,1286.96,72.6745
809,1330.53,73.4538
810,1356.87,69.0556
811,1300.6,78.8015
