Episode,Cross-Entropy Method,Cross-Entropy Method_ErrorBar
718,994.538,200.775
719,694.137,213.682
720,916.125,203.755
721,998.045,174.328
722,988.443,163.084
723,1008.55,164.042
724,885.954,194.153
725,930.175,186.361
726,966.672,195.662
727,946.263,153.502
728,933.274,189.523
729,895.751,207.926
730,659.496,207.407
731,439.338,272.894
732,931.869,160.979
733,1103.35,163.844
734,833.345,231.756
735,793.547,232.019
736,864.431,193.129
737,1006.75,170.368
738,1124.14,158.645
739,883.544,172.083
740,919.301,192.911
741,1036.9,194.579
742,865.174,204.711
743,669.657,223.158
744,935.703,157.281
745,845.656,184.951
746,821.676,200.261
747,530.079,229.137
748,895.687,198.105
749,781.419,201.862
750,742.839,211.345
751,940.744,159.406
752,766.973,198.283
753,841.215,196.948
754,935.444,185.194
755,816.683,202.43
756,754.888,194.342
757,836.943,175.66
758,793.527,153.241
759,599.679,266.459
760,492.01,213.364
761,688.944,188.546
762,710.697,207.434
763,1023.92,198.127
764,624.535,232.779
765,912.263,196.312
766,775.191,213.498
767,852.501,211.96
768,848.657,197.077
769,1037.32,186.284
770,942.95,218.932
771,995.373,209.05
772,1057,185.911
773,765.808,238.822
774,874.169,218.023
775,858.126,201.202
776,707.925,243.133
777,749.049,204.234
778,843.072,202.728
779,747.75,219.269
780,762.957,219.463
781,985.892,192.646
782,1145.09,176.104
783,842.524,200.986
784,935.168,188.134
785,947.594,199.501
786,649.226,222.092
787,897.049,192.629
788,920.926,219.336
789,721.161,243.134
790,1140.54,189.674
791,539.582,226.013
792,876.309,212.545
793,718.81,229.878
794,914.457,189.367
795,719.972,198.142
796,562.481,217.702
797,628.417,225.472
798,802.726,182.777
799,820.79,205.966
800,680.341,196.275
801,678.351,206.095
802,823.666,200.909
803,901.806,163.916
804,873.157,180.847
805,982.87,207.374
806,1096.54,174.637
807,856.64,228.745
808,1057.44,175.024
809,938.532,198.401
810,849.785,219.668
811,994.366,188.545
812,848.429,209.81
813,837.747,237.197
814,980.72,212.844
815,883.618,239.616
816,1031.31,186.343
817,941.349,181.907
818,934.235,198.549
819,1087.61,143.93
820,978.881,215.708
821,755.409,209.796
822,1071.63,144.921
823,1091.8,181.594
824,886.002,198.75
825,725.053,207.072
826,923.516,216.677
827,889.611,198.855
828,998.588,189.255
829,946.078,210.031
830,819.41,213.909
831,966.536,199.112
832,845.383,213.24
833,896.875,191.067
834,723.502,220.69
835,713.323,210.994
836,1069.98,164.949
837,1075.74,161.91
838,929.927,191.196
839,1051.74,162.087
840,725.365,210.075
841,849.187,195.668
842,901.355,217.984
843,675.721,234.228
844,1072.36,147.161
845,1004.45,163.734
846,970.863,165.543
847,845.718,178.745
848,1095.77,175.436
849,826.482,201.736
850,747.55,190.855
851,715.729,196.516
852,781.347,194.554
853,885.415,222.24
854,725.245,224.088
855,525.988,234.848
856,529.642,252.797
857,689.9,201.752
858,1083.5,189.796
859,934.919,209.953
860,871.675,210.951
861,1031.42,175.554
862,903.032,197.641
863,942.925,210.639
864,890.837,206.552
865,878.661,156.789
866,1023.8,164.344
867,845.74,198.89
868,883.145,212.629
869,817.361,191.243
870,728.594,213.921
871,992.992,202.305
872,913.604,211.188
873,1027.53,178.219
874,1240.02,180.681
875,1088.44,157.374
876,1004.19,203.854
877,710.309,229.278
878,842.462,210.969
879,1010.09,197.468
880,783.841,247.006
881,962.496,205.608
882,880.336,225.244
883,1020.24,187.997
884,916.798,213.851
885,1037.74,196.787
886,697.39,267.048
887,723.487,235.544
888,662.034,250.459
889,994.815,186.584
890,1020.56,161.128
891,1011.3,158.664
892,611.931,246.134
893,903.187,190.452
894,901.562,210.169
895,1278.66,184.126
896,1087.2,175.037
897,877.936,240.655
898,964.249,222.75
899,917.746,238.965
900,1085.51,197.372
